"No.","Time","Source","Destination","Protocol","Info"
"1471","44.805815","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=5026 Ack=45662 Win=64128 Len=0 TSV=2118560 TSER=281408045"
"1477","45.126720","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [PSH, ACK] Seq=45662 Ack=5026 Win=18688 Len=1348 TSV=281408126 TSER=2118560"
"1478","45.126735","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=5026 Ack=47010 Win=64128 Len=0 TSV=2118640 TSER=281408126"
"1481","45.280748","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=47010 Ack=5026 Win=18688 Len=1348 TSV=281408165 TSER=2118640"
"1482","45.280762","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=5026 Ack=48358 Win=64128 Len=0 TSV=2118679 TSER=281408165"
"1488","45.436806","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=48358 Ack=5026 Win=18688 Len=1348 TSV=281408204 TSER=2118679"
"1489","45.436903","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=49706 Ack=5026 Win=18688 Len=1348 TSV=281408204 TSER=2118679"
"1490","45.436932","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=5026 Ack=51054 Win=64128 Len=0 TSV=2118718 TSER=281408204"
"1529","46.470758","93.182.152.117","130.126.143.48","TCP","[TCP Retransmission] 9003 > 52266 [ACK] Seq=48358 Ack=5026 Win=18688 Len=1348 TSV=281408463 TSER=2118679"
"1530","46.470796","130.126.143.48","93.182.152.117","TCP","[TCP Dup ACK 1490#1] 52266 > 9003 [ACK] Seq=5026 Ack=51054 Win=64128 Len=0 TSV=2118976 TSER=281408204 SLE=48358 SRE=49706"
"1534","46.626936","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [PSH, ACK] Seq=51054 Ack=5026 Win=18688 Len=1348 TSV=281408501 TSER=2118976"
"1535","46.626957","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=5026 Ack=52402 Win=64128 Len=0 TSV=2119015 TSER=281408501"
"1536","46.627043","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=52402 Ack=5026 Win=18688 Len=1348 TSV=281408501 TSER=2118976"
"1537","46.627053","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=5026 Ack=53750 Win=62848 Len=0 TSV=2119015 TSER=281408501"
"1540","46.778813","fe80::2408:9a18:99bf:4f8d","ff02::1:ff6e:faac","ICMPv6","Neighbor solicitation"
"1541","46.784771","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=53750 Ack=5026 Win=18688 Len=1348 TSV=281408541 TSER=2119015"
"1542","46.784785","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=5026 Ack=55098 Win=64128 Len=0 TSV=2119055 TSER=281408541"
"1543","46.785772","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=55098 Ack=5026 Win=18688 Len=1348 TSV=281408541 TSER=2119015"
"1544","46.785782","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=5026 Ack=56446 Win=64128 Len=0 TSV=2119055 TSER=281408541"
"1545","46.785913","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [PSH, ACK] Seq=56446 Ack=5026 Win=18688 Len=1348 TSV=281408541 TSER=2119015"
"1546","46.785923","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=5026 Ack=57794 Win=62848 Len=0 TSV=2119055 TSER=281408541"
"1547","46.787328","fe80::a1c8:cf93:5748:7c32","ff02::1:ff6e:faac","ICMPv6","Neighbor solicitation"
"1548","46.800471","fe80::4d2d:a443:94c5:c607","ff02::1:ff6e:faac","ICMPv6","Neighbor solicitation"
"1565","47.395599","fe80::a1c8:cf93:5748:7c32","ff02::1:ff6e:faac","ICMPv6","Neighbor solicitation"
"1567","47.430493","fe80::2408:9a18:99bf:4f8d","ff02::1:ff6e:faac","ICMPv6","Neighbor solicitation"
"1574","47.551216","fe80::4d2d:a443:94c5:c607","ff02::1:ff6e:faac","ICMPv6","Neighbor solicitation"
"1587","48.393971","fe80::a1c8:cf93:5748:7c32","ff02::1:ff6e:faac","ICMPv6","Neighbor solicitation"
"1593","48.430572","fe80::2408:9a18:99bf:4f8d","ff02::1:ff6e:faac","ICMPv6","Neighbor solicitation"
"1599","48.552722","fe80::4d2d:a443:94c5:c607","ff02::1:ff6e:faac","ICMPv6","Neighbor solicitation"
"1605","48.745842","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [PSH, ACK] Seq=57794 Ack=5026 Win=18688 Len=1348 TSV=281409020 TSER=2119055"
"1606","48.745869","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=5026 Ack=59142 Win=64128 Len=0 TSV=2119545 TSER=281409020"
"1611","48.910825","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=59142 Ack=5026 Win=18688 Len=1348 TSV=281409070 TSER=2119545"
"1612","48.910838","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=5026 Ack=60490 Win=64128 Len=0 TSV=2119586 TSER=281409070"
"1613","48.911146","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [PSH, ACK] Seq=5026 Ack=60490 Win=64128 [TCP CHECKSUM INCORRECT] Len=586 TSV=2119586 TSER=281409070"
"1618","49.130765","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=60490 Ack=5026 Win=18688 Len=1348 TSV=281409112 TSER=2119586"
"1619","49.130880","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [PSH, ACK] Seq=61838 Ack=5026 Win=18688 Len=1348 TSV=281409112 TSER=2119586"
"1620","49.130892","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=5612 Ack=63186 Win=64128 Len=0 TSV=2119641 TSER=281409112"
"1621","49.170689","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=63186 Ack=5612 Win=19968 Len=0 TSV=281409122 TSER=2119586"
"1622","49.170705","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [PSH, ACK] Seq=5612 Ack=63186 Win=64128 [TCP CHECKSUM INCORRECT] Len=586 TSV=2119651 TSER=281409122"
"1629","49.268801","Hewlett-_39:66:80","HP_00:00:67","HP","HP Switch Protocol"
"1635","49.308881","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=63186 Ack=5612 Win=19968 Len=1348 TSV=281409167 TSER=2119641"
